TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1896-01-01T00:00:00Z,573.83826,283.30002,970.10004,22215.076,149.04723,10039.2,10576
1896-02-01T00:00:00Z,171.5357,54.3,355.1,2640.0642,51.381557,10039.2,10576
1896-03-01T00:00:00Z,212.01114,147.8,312.30002,1353.9027,36.795418,10039.2,10576
1896-04-01T00:00:00Z,481.3033,285.6,755.7,10672.748,103.30899,10039.2,10576
1896-05-01T00:00:00Z,303.49777,185,571.60004,6410.6885,80.06677,10039.2,10576
1896-06-01T00:00:00Z,17.241459,10.3,27.5,12.209872,3.4942627,10039.2,10576
1896-07-01T00:00:00Z,1.075451,0,4.1,0.695047,0.8336948,10039.2,10576
1896-08-01T00:00:00Z,32.26616,14.400001,71.5,98.44984,9.922189,10039.2,10576
1896-09-01T00:00:00Z,27.290485,20,41.2,17.817118,4.2210326,10039.2,10576
1896-10-01T00:00:00Z,130.93437,80.6,213.8,846.9151,29.101807,10039.2,10576
1896-11-01T00:00:00Z,488.05447,328,774,7266.73,85.24512,10039.2,10576
1896-12-01T00:00:00Z,516.90826,299.30002,821.9,10803.274,103.938805,10039.2,10576
1897-01-01T00:00:00Z,151.3991,92.5,236.6,899.77155,29.996193,10039.2,10576
1897-02-01T00:00:00Z,557.5632,334.9,864.2,12800.444,113.139046,10039.2,10576
1897-03-01T00:00:00Z,410.17087,283.1,590.8,3846.7588,62.022243,10039.2,10576
1897-04-01T00:00:00Z,85.0215,48.2,147.7,377.85242,19.438427,10039.2,10576
1897-05-01T00:00:00Z,32.60471,15.8,61.3,68.53173,8.27839,10039.2,10576
1897-06-01T00:00:00Z,38.214294,28.300001,58.9,49.208214,7.0148563,10039.2,10576
1897-07-01T00:00:00Z,5.763962,0.5,14.400001,8.712556,2.951704,10039.2,10576
1897-08-01T00:00:00Z,13.332241,4.8,32.3,32.436897,5.6953397,10039.2,10576
1897-09-01T00:00:00Z,81.04077,36.100002,154.90001,565.5034,23.780315,10039.2,10576
1897-10-01T00:00:00Z,128.65733,101.6,216.8,597.24396,24.438574,10039.2,10576
1897-11-01T00:00:00Z,473.1003,224.8,886.10004,15908.067,126.12718,10039.2,10576
1897-12-01T00:00:00Z,297.58783,195.40001,466.4,2707.451,52.03317,10039.2,10576
1898-01-01T00:00:00Z,159.09904,79.700005,301.30002,1919.0542,43.80701,10039.2,10576
1898-02-01T00:00:00Z,513.92224,264.6,969.3,21044.693,145.06789,10039.2,10576
1898-03-01T00:00:00Z,129.90152,63.7,300.6,1695.7317,41.179264,10039.2,10576
1898-04-01T00:00:00Z,119.87168,61.5,211.2,863.36786,29.383121,10039.2,10576
1898-05-01T00:00:00Z,115.14415,76.700005,166.5,375.0139,19.365274,10039.2,10576
1898-06-01T00:00:00Z,58.862064,41,86.4,71.41619,8.45081,10039.2,10576
1898-07-01T00:00:00Z,5.6480417,1.5,11.7,3.6986682,1.9231921,10039.2,10576
1898-08-01T00:00:00Z,16.585972,5.5,40.100002,59.341133,7.7033195,10039.2,10576
1898-09-01T00:00:00Z,87.41724,47.4,150.1,454.85385,21.327303,10039.2,10576
1898-10-01T00:00:00Z,104.557655,67.700005,153.6,306.74643,17.514177,10039.2,10576
1898-11-01T00:00:00Z,324.3927,197.40001,526.5,3899.7136,62.447685,10039.2,10576
1898-12-01T00:00:00Z,202.11397,101.6,345.9,2172.9082,46.614464,10039.2,10576
1899-01-01T00:00:00Z,379.69275,296,684.60004,5459.77,73.89026,10039.2,10576
1899-02-01T00:00:00Z,458.60883,206.5,892.8,19408.236,139.31345,10039.2,10576
1899-03-01T00:00:00Z,305.66415,232.5,453.9,1619.4308,40.242153,10039.2,10576
1899-04-01T00:00:00Z,133.28038,72.200005,287.30002,1351.441,36.76195,10039.2,10576
1899-05-01T00:00:00Z,126.73613,75.3,206.3,631.5158,25.129978,10039.2,10576
1899-06-01T00:00:00Z,28.180897,15.8,47.2,38.18538,6.179432,10039.2,10576
1899-07-01T00:00:00Z,1.2215915,0.1,3.4,0.39738208,0.6303825,10039.2,10576
1899-08-01T00:00:00Z,57.630665,17.1,143.40001,681.9839,26.11482,10039.2,10576
1899-09-01T00:00:00Z,68.05269,28.800001,128.90001,470.8235,21.698467,10039.2,10576
1899-10-01T00:00:00Z,255.2923,173.5,404.9,2323.9148,48.207,10039.2,10576
1899-11-01T00:00:00Z,693.7314,401.6,1128.4,24596.285,156.83203,10039.2,10576
1899-12-01T00:00:00Z,451.6995,241.7,705.2,9438.783,97.1534,10039.2,10576
1900-01-01T00:00:00Z,301.70654,177.5,482.4,4248.2925,65.178925,10039.2,10576
1900-02-01T00:00:00Z,282.8198,159.6,443.6,2769.8906,52.62975,10039.2,10576
1900-03-01T00:00:00Z,215.97717,156.90001,323.80002,1117.3441,33.426697,10039.2,10576
1900-04-01T00:00:00Z,175.193,127.8,288.5,1168.2373,34.179485,10039.2,10576
1900-05-01T00:00:00Z,149.45328,76.8,249.2,1287.6093,35.88327,10039.2,10576
1900-06-01T00:00:00Z,49.517315,34.9,71,43.616077,6.6042466,10039.2,10576
1900-07-01T00:00:00Z,1.4858211,0,4.9,1.2711302,1.1274441,10039.2,10576
1900-08-01T00:00:00Z,6.6069736,3.2,15.7,4.1541586,2.0381753,10039.2,10576
1900-09-01T00:00:00Z,39.599125,10.3,81.1,158.8861,12.605002,10039.2,10576
1900-10-01T00:00:00Z,320.61536,220,551.2,4246.8525,65.16788,10039.2,10576
1900-11-01T00:00:00Z,180.13228,139.3,275.9,534.0228,23.108934,10039.2,10576
1900-12-01T00:00:00Z,268.01605,164.1,424.4,2616.0046,51.146893,10039.2,10576
1901-01-01T00:00:00Z,458.0077,250.8,794.60004,13024.606,114.1254,10039.2,10576
1901-02-01T00:00:00Z,426.622,242,778.9,11167.907,105.678314,10039.2,10576
1901-03-01T00:00:00Z,275.57196,145.90001,502.9,4821.832,69.439415,10039.2,10576
1901-04-01T00:00:00Z,206.28818,133.40001,300.7,1336.103,36.552742,10039.2,10576
1901-05-01T00:00:00Z,78.96928,44,141.5,319.97604,17.887875,10039.2,10576
1901-06-01T00:00:00Z,12.844775,6.8,23.5,9.288292,3.04767,10039.2,10576
1901-07-01T00:00:00Z,2.4144807,0.6,5.4,0.9473721,0.97333044,10039.2,10576
1901-08-01T00:00:00Z,7.5697336,2.9,18.800001,10.3027,3.209782,10039.2,10576
1901-09-01T00:00:00Z,178.29959,96.5,318.2,2189.0388,46.787167,10039.2,10576
