"","param","slope_CCSM","intercept_CCSM","slope_pval_CCSM","intercept_pval_CCSM","slope_stdErr_CCSM","intercept_stdErr_CCSM","NA"
"1","SID1000MEAN.m3.",-464281.114369207,1835920083.07594,0.530949663657309,0.228671178249745,738170.419900061,1514855319.58226,"SID1000MEAN.m3."
"2","SID1001MEAN.m3.",-585547.091995166,2028515836.03257,0.400009271629144,0.156880503453647,692486.145768504,1421103167.2015,"SID1001MEAN.m3."
"3","SID1002MEAN.m3.",-1330833.50141066,4996297287.94741,0.489335586439842,0.207342628960284,1917120.78809706,3934268491.17546,"SID1002MEAN.m3."
"4","SID1003MEAN.m3.",-627335.688926436,2913225583.51574,0.680560556261968,0.352457753176099,1518884.04745498,3117016771.58416,"SID1003MEAN.m3."
"5","SID1004MEAN.m3.",-453087.548396634,1434759046.84208,0.314818552231938,0.122316564136895,448270.945457151,919930693.554305,"SID1004MEAN.m3."
"6","SID1005MEAN.m3.",-361732.622072497,1289933556.22074,0.445580538456549,0.186423094920601,472154.422605015,968943782.445704,"SID1005MEAN.m3."
"7","SID1006MEAN.m3.",-523984.520086883,1746996138.84385,0.377746267105905,0.153280962000093,591147.392548514,1213138251.16501,"SID1006MEAN.m3."
"8","SID1007MEAN.m3.",-374340.723156968,1314230068.63,0.444210139077462,0.191936566814095,487137.98856745,999692690.817809,"SID1007MEAN.m3."
"9","SID1008MEAN.m3.",-966487.177567418,3600177508.49305,0.508662520387203,0.231548161905561,1456562.78990543,2989122607.88307,"SID1008MEAN.m3."
"10","SID1009MEAN.m3.",-544041.400872138,2135303509.69749,0.539047095202613,0.241371354701176,882344.217047319,1810725267.31393,"SID1009MEAN.m3."
"11","SID1010MEAN.m3.",-804474.262313515,3373675569.45333,0.605855939677988,0.292799392743484,1553645.73941611,3188353867.41648,"SID1010MEAN.m3."
"12","SID1011MEAN.m3.",-311686.781638108,1304605816.77517,0.590721764801522,0.273897043502393,577517.975845475,1185168294.85303,"SID1011MEAN.m3."
"13","SID1012MEAN.m3.",-711219.861973792,2282150371.86877,0.344821542985679,0.141046460347148,748953.556746557,1536984209.8403,"SID1012MEAN.m3."
"14","SID1013MEAN.m3.",-375973.882670021,1264248419.75935,0.412943081850685,0.18109831680447,457111.748176182,938073573.121485,"SID1013MEAN.m3."
"15","SID1014MEAN.m3.",-864138.378584059,3320216453.47593,0.559052759042362,0.275137913940796,1473611.21294611,3024108965.55528,"SID1014MEAN.m3."
"16","SIDALLMEAN.m3.",-9299173.2895654,34840269496.9428,0.507329772976902,0.22742334283509,13970432.315012,28669780227.8843,"SIDALLMEAN.m3."
