"","param","slope_CNRM","intercept_CNRM","slope_pval_CNRM","intercept_pval_CNRM","slope_stdErr_CNRM","intercept_stdErr_CNRM","NA"
"1","SID1000MEAN.m3.",1472532.36295414,-2028212437.85883,0.0516222525171653,0.188921714114712,746642.287100672,1532241078.68295,"SID1000MEAN.m3."
"2","SID1001MEAN.m3.",1343321.99123815,-1822810505.79758,0.0586872692447598,0.208757546273661,701626.254468552,1439860275.19792,"SID1001MEAN.m3."
"3","SID1002MEAN.m3.",3491492.42668332,-4600484784.44149,0.0797783067138314,0.258275715474964,1970611.85938727,4044041562.14882,"SID1002MEAN.m3."
"4","SID1003MEAN.m3.",2605749.39964789,-3466144451.52102,0.113996498154751,0.30369641873598,1632860.69965525,3350916875.46143,"SID1003MEAN.m3."
"5","SID1004MEAN.m3.",868124.282066486,-1199312161.43133,0.0702425103272118,0.220681019663224,473901.20043822,972528477.28232,"SID1004MEAN.m3."
"6","SID1005MEAN.m3.",870033.495271483,-1161741251.81399,0.0803281590445128,0.252868017728298,491960.876674025,1009590104.08043,"SID1005MEAN.m3."
"7","SID1006MEAN.m3.",1144196.34539887,-1576210885.42478,0.0726506014940899,0.225961650592845,630035.388516655,1292943247.37199,"SID1006MEAN.m3."
"8","SID1007MEAN.m3.",904689.487774094,-1227858974.15291,0.0849305263667762,0.252372444566233,519412.880852676,1065926437.04925,"SID1007MEAN.m3."
"9","SID1008MEAN.m3.",2515038.46581895,-3299540534.516,0.108805188709492,0.303268861488574,1552993.66231036,3187015690.69497,"SID1008MEAN.m3."
"10","SID1009MEAN.m3.",1519621.8944217,-1958589098.07662,0.101902105881731,0.302122446607488,919652.453597681,1887288319.80011,"SID1009MEAN.m3."
"11","SID1010MEAN.m3.",2652305.96695935,-3464421799.58507,0.110865831662254,0.308202830889369,1647415.30450696,3380785480.31153,"SID1010MEAN.m3."
"12","SID1011MEAN.m3.",1093555.428056,-1488481363.86606,0.0711861129427068,0.229077259326477,599001.864187039,1229257006.16164,"SID1011MEAN.m3."
"13","SID1012MEAN.m3.",1380094.33019696,-1877690401.45318,0.0883352908260552,0.256395388737925,801111.75104188,1644021983.17559,"SID1012MEAN.m3."
"14","SID1013MEAN.m3.",831082.558282809,-1132235980.03715,0.0971533583861387,0.268771025240721,495846.287850176,1017563650.06695,"SID1013MEAN.m3."
"15","SID1014MEAN.m3.",2541342.24291647,-3410713056.12455,0.117909934077178,0.304646126044626,1609924.69049982,3303848157.25975,"SID1014MEAN.m3."
"16","SIDALLMEAN.m3.",25233169.8226309,-33714427989.4554,0.0906755379992292,0.268500043396435,14756331.2588866,30282582859.4822,"SIDALLMEAN.m3."
