"","param","slope_GISS","intercept_GISS","slope_pval_GISS","intercept_pval_GISS","slope_stdErr_GISS","intercept_stdErr_GISS","NA"
"1","SID1000MEAN.m3.",634641.033739342,-420054758.583039,0.369969326670995,0.772023582662775,704377.926167105,1445507188.69908,"SID1000MEAN.m3."
"2","SID1001MEAN.m3.",690064.722549963,-567018872.947259,0.3115671973774,0.684637984533017,678131.393722224,1391644695.40099,"SID1001MEAN.m3."
"3","SID1002MEAN.m3.",1413423.34017709,-599901598.550987,0.45762797642758,0.87773456797024,1894828.99773936,3888521823.06738,"SID1002MEAN.m3."
"4","SID1003MEAN.m3.",357034.562930009,877893256.517854,0.808590517084556,0.77164111016005,1469577.32664874,3015830722.54876,"SID1003MEAN.m3."
"5","SID1004MEAN.m3.",434497.406201378,-376516158.767745,0.315583444560256,0.671025748885626,430562.217802712,883589274.869453,"SID1004MEAN.m3."
"6","SID1005MEAN.m3.",354596.905377094,-161816940.165914,0.457156299679633,0.868487589888268,474871.356081993,974519407.016393,"SID1005MEAN.m3."
"7","SID1006MEAN.m3.",542396.433753363,-431717400.007523,0.343477820057478,0.712728372580471,569576.931657296,1168871877.78293,"SID1006MEAN.m3."
"8","SID1007MEAN.m3.",362080.840534558,-175341823.75498,0.453598949007817,0.859425659919664,481070.465388167,987241067.836127,"SID1007MEAN.m3."
"9","SID1008MEAN.m3.",709064.356715907,170631316.058775,0.620605151862201,0.953682710472751,1427578.09636335,2929640927.21017,"SID1008MEAN.m3."
"10","SID1009MEAN.m3.",474001.678532442,41426887.8491185,0.584618215775441,0.981410966958319,864008.499522811,1773097155.32034,"SID1009MEAN.m3."
"11","SID1010MEAN.m3.",566893.159887318,575383694.421044,0.713117721847291,0.855663761438375,1537040.6777389,3154277365.11351,"SID1010MEAN.m3."
"12","SID1011MEAN.m3.",347932.009001377,-59387429.6605924,0.526399985725409,0.957931563312681,547098.978989404,1122743171.92543,"SID1011MEAN.m3."
"13","SID1012MEAN.m3.",595315.183878649,-395180626.916555,0.407560936797838,0.788429595253623,715483.180342277,1468297120.27728,"SID1012MEAN.m3."
"14","SID1013MEAN.m3.",300745.494394615,-118744101.816089,0.493047177269728,0.894946865684907,436972.347022158,896743985.604952,"SID1013MEAN.m3."
"15","SID1014MEAN.m3.",497464.789336482,539695021.239515,0.730082591212433,0.85523971223984,1437433.44352596,2949865830.12301,"SID1014MEAN.m3."
"16","SIDALLMEAN.m3.",8280142.88830892,-1100632557.92288,0.545013486979332,0.968696698317311,13629231.0967961,27969575415.38,"SIDALLMEAN.m3."
