"","param","slope_PCM","intercept_PCM","slope_pval_PCM","intercept_pval_PCM","slope_stdErr_PCM","intercept_stdErr_PCM","NA"
"1","SID1000MEAN.m3.",-409814.265821275,1737445349.54277,0.617126514539054,0.302782335426361,816935.562757428,1676495223.37479,"SID1000MEAN.m3."
"2","SID1001MEAN.m3.",-422282.464248227,1724012643.52024,0.601825511636816,0.30032730828755,806489.120242672,1655057289.00683,"SID1001MEAN.m3."
"3","SID1002MEAN.m3.",-1522065.48434814,5449065544.50933,0.491922585958248,0.231792521233016,2205751.15136262,4526588678.21978,"SID1002MEAN.m3."
"4","SID1003MEAN.m3.",-1207989.49170886,4141367545.02474,0.447323112846599,0.205565768283159,1582812.6964818,3248209584.84414,"SID1003MEAN.m3."
"5","SID1004MEAN.m3.",-140573.418178408,789648338.113013,0.782350546864866,0.450154859707561,507346.966713102,1041165062.53843,"SID1004MEAN.m3."
"6","SID1005MEAN.m3.",-324182.090098723,1242360130.14068,0.556653777475955,0.273462814144361,549462.442715989,1127593414.50131,"SID1005MEAN.m3."
"7","SID1006MEAN.m3.",-254451.376437295,1203158939.45676,0.71510804890274,0.40108548947746,694950.370606505,1426160189.271,"SID1006MEAN.m3."
"8","SID1007MEAN.m3.",-221033.678027506,1030061841.81197,0.701485061665461,0.384848744876362,574819.696725157,1179630952.29779,"SID1007MEAN.m3."
"9","SID1008MEAN.m3.",-951189.448830637,3636179093.25584,0.557510732624668,0.275686883498042,1615703.46838747,3315707224.20121,"SID1008MEAN.m3."
"10","SID1009MEAN.m3.",-600818.030950047,2278463571.32241,0.536763090194038,0.254866200052788,968956.029924093,1988467915.81075,"SID1009MEAN.m3."
"11","SID1010MEAN.m3.",-1205133.09391214,4259006937.91426,0.473833519550142,0.218674925163791,1675554.97696733,3438533029.34456,"SID1010MEAN.m3."
"12","SID1011MEAN.m3.",-371322.909883288,1433811955.26425,0.556289908604813,0.269425114673824,628781.303336999,1290369644.3741,"SID1011MEAN.m3."
"13","SID1012MEAN.m3.",-310939.166435186,1459978660.58649,0.708014373887561,0.392267089149906,827626.400205238,1698434699.05955,"SID1012MEAN.m3."
"14","SID1013MEAN.m3.",-192646.016591561,898974961.378748,0.705422610819173,0.390807452003858,508032.508604687,1042571914.87668,"SID1013MEAN.m3."
"15","SID1014MEAN.m3.",-917606.384027682,3490738891.86763,0.568969774110129,0.292094362773995,1605194.71620008,3294141419.44383,"SID1014MEAN.m3."
"16","SIDALLMEAN.m3.",-9052050.88378821,34774279752.311,0.55686644001184,0.272565270320557,15350782.7898722,31502501782.9055,"SIDALLMEAN.m3."
